"Subject" "Label" "Mean average" "SD average"
2 5 -0.621760659111885 0.595852179039713
2 4 -0.627665061808651 0.581236497332955
2 6 -0.623490804656164 0.62028619201038
2 1 -0.379009308303208 0.485038314120176
2 3 -0.249873821327599 0.494010822541637
2 2 -0.355585495848593 0.486682246449879
4 5 -0.600400526075666 0.611635890003233
4 4 -0.610637777424421 0.597099358705036
4 6 -0.610871972090698 0.636719543154241
4 1 -0.420146111766927 0.522849372573755
4 3 -0.350064720089651 0.537333130340855
4 2 -0.403128010787619 0.526073679335268
9 5 -0.606595642981674 0.704728168045091
9 4 -0.602210998347181 0.690343911342831
9 6 -0.599538686532028 0.722731354945019
9 1 -0.352564379835154 0.613882187721408
9 3 -0.290713959542499 0.631660018044056
9 2 -0.406020101764933 0.631355355808805
10 5 -0.602002398144133 0.730213387005907
10 4 -0.612937952330704 0.729444698749306
10 6 -0.602936309539976 0.753135668584882
10 1 -0.306386645483593 0.634534471688043
10 3 -0.239136630831569 0.64788926511528
10 2 -0.323110317584465 0.642971034949895
12 5 -0.595258848528102 0.786906502750852
12 4 -0.605622170695771 0.772924687168769
12 6 -0.595919143554595 0.799696855803011
12 1 -0.33120647816315 0.70047993468294
12 3 -0.283740914362289 0.719270695864835
12 2 -0.395426419012072 0.71699055990893
13 5 -0.605055128302173 0.81970262281312
13 4 -0.605716682098346 0.813722042576415
13 6 -0.588372260368454 0.844243398708602
13 1 -0.29099597240857 0.727758523713746
13 3 -0.28768859618482 0.740331171075278
13 2 -0.383476986568627 0.748716117981716
18 5 -0.602372745155739 0.976971150041862
18 4 -0.608853953557891 0.969684199877749
18 6 -0.60011964238262 0.992798643035726
18 1 -0.401008364766814 0.911659549925089
18 3 -0.399805325177459 0.92658663055578
18 2 -0.433485446208262 0.925141281039246
20 5 -0.573420173605966 1.04108777140115
20 4 -0.594970868454555 1.03533554405199
20 6 -0.595927110317878 1.05689009494292
20 1 -0.221296027862771 0.970217416228136
20 3 -0.205439044939221 0.983972023099734
20 2 -0.298013817325506 0.980564633115679
24 5 -0.58043221215846 1.19040298801494
24 4 -0.594588876739128 1.18039205224518
24 6 -0.578664476770169 1.20312910607515
24 1 -0.371088940095447 1.13409193159842
24 3 -0.309853004446017 1.13860865570981
24 2 -0.388108843592655 1.13793601445467
1 5 -0.634467685094752 0.595280659366016
1 4 -0.622274128549914 0.583445734747872
1 6 -0.592930838046188 0.612487675674677
1 1 -0.314419821531769 0.458695158696053
1 3 -0.28906563103777 0.478573663833775
1 2 -0.400222207424325 0.498040322252433
3 5 -0.610388335736771 0.594213813743462
3 4 -0.608135079130114 0.588996641106724
3 6 -0.623181343756818 0.618883770612872
3 1 -0.378386765670697 0.494248380381073
3 3 -0.338633701117266 0.511289756138847
3 2 -0.413886484699919 0.513756743151687
5 5 -0.598861247877848 0.6230361998435
5 4 -0.608801637003164 0.613086030641275
5 6 -0.610010935337862 0.655401702499166
5 1 -0.366533221020782 0.525454122871246
5 3 -0.281637276077392 0.546127591053714
5 2 -0.342654163072118 0.530868858632222
6 5 -0.607479614722584 0.639294233229485
6 4 -0.605429252709748 0.6278521029039
6 6 -0.595906612488606 0.662237146972257
6 1 -0.323880988232982 0.53673021959114
6 3 -0.182229982833903 0.560404651940606
6 2 -0.315258175510739 0.544185491811841
7 5 -0.610124599669902 0.662171879598781
7 4 -0.607061084597262 0.654217869738056
7 6 -0.602980700106627 0.688608174117769
7 1 -0.291465141889244 0.554475860640163
7 3 -0.298240948679485 0.581334634734296
7 2 -0.409904178536896 0.580469150263936
8 5 -0.614101506910444 0.690605687858879
8 4 -0.614146613657268 0.677357715397744
8 6 -0.59999507693573 0.711639715733464
8 1 -0.282704858660008 0.580122440230428
8 3 -0.173294206398941 0.589048414028902
8 2 -0.274573631562476 0.588641809097849
11 5 -0.617652000897544 0.764065230407135
11 4 -0.607179009726944 0.751525745652886
11 6 -0.611071493073373 0.780322072899523
11 1 -0.408519738186092 0.680611102192603
11 3 -0.322611880093581 0.68945812465744
11 2 -0.410638210355964 0.697482833897773
14 5 -0.597771927467435 0.846544505420666
14 4 -0.605685902341726 0.834517892485995
14 6 -0.590599497341791 0.858804518647231
14 1 -0.357489384628208 0.762772010468468
14 3 -0.17246051107949 0.775303511943718
14 2 -0.256053014778218 0.79554584353736
15 5 -0.602239446305127 0.878891629318088
15 4 -0.605469587793086 0.871742321219964
15 6 -0.600309850299157 0.890777049978233
15 1 -0.36071979479442 0.803139145207409
15 3 -0.247260268336114 0.813698305845887
15 2 -0.362126876332348 0.813491982454169
16 5 -0.606941477162674 0.913599847849265
16 4 -0.60444850270196 0.906149221529309
16 6 -0.594570749408967 0.927678667366531
16 1 -0.399635054175209 0.842591907676375
16 3 -0.304127973899024 0.850633059397749
16 2 -0.406611295636582 0.851500239908011
17 5 -0.603308551429471 0.949252405364656
17 4 -0.604120478706619 0.942893604411198
17 6 -0.586786273515109 0.961539085577941
17 1 -0.3536929637291 0.872717148932116
17 3 -0.328373202050365 0.887551418597582
17 2 -0.366257532216845 0.881426841235632
19 5 -0.595233902556012 1.01101832302003
19 4 -0.59586415617005 1.0024823560462
19 6 -0.586345580322362 1.02939704177032
